0, 3, 6, 12, 14, 20, 22, 24, 26, 32, 38, 39, 40, 43, 47, 51, 55, 56, 62, 65, 67, 69, 71, 77, 82, 86, 89, 95, 99, 100, 100, 100, 100, 
0, 3, 9, 12, 16, 17, 19, 24, 28, 30, 32, 34, 35, 36, 37, 42, 44, 48, 54, 56, 61, 62, 66, 72, 77, 83, 85, 90, 93, 97, 98, 100, 100, 
0, 6, 12, 16, 21, 26, 31, 36, 41, 47, 50, 56, 59, 62, 66, 72, 77, 81, 84, 85, 90, 92, 98, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
0, 5, 9, 13, 15, 20, 22, 28, 30, 33, 39, 42, 47, 48, 51, 56, 57, 61, 66, 67, 70, 75, 78, 82, 83, 89, 92, 97, 100, 100, 100, 100, 100, 
0, 1, 2, 6, 11, 16, 21, 24, 28, 32, 35, 37, 40, 42, 45, 51, 55, 58, 64, 69, 72, 75, 77, 79, 84, 86, 89, 95, 100, 100, 100, 100, 100, 
0, 1, 7, 12, 13, 16, 17, 21, 22, 26, 29, 35, 38, 40, 41, 42, 46, 51, 57, 61, 65, 67, 68, 73, 76, 80, 86, 89, 92, 97, 100, 100, 100, 
0, 1, 6, 8, 13, 15, 17, 22, 27, 28, 33, 35, 37, 41, 45, 46, 47, 50, 56, 58, 62, 65, 68, 72, 76, 79, 84, 86, 92, 96, 100, 100, 100, 
0, 6, 10, 14, 16, 20, 25, 30, 34, 37, 39, 40, 41, 43, 48, 52, 53, 55, 60, 63, 69, 72, 76, 78, 82, 85, 88, 89, 93, 96, 98, 99, 100, 
0, 2, 8, 9, 10, 15, 16, 17, 21, 27, 31, 36, 41, 43, 49, 54, 60, 63, 67, 72, 77, 81, 83, 87, 90, 91, 96, 100, 100, 100, 100, 100, 100, 
0, 2, 3, 7, 12, 17, 20, 21, 22, 28, 33, 35, 36, 42, 48, 52, 55, 59, 60, 65, 67, 70, 71, 73, 79, 85, 88, 91, 94, 95, 97, 100, 100, 
